"Semester
",Course Code,Course Name,L,T,P,"Credits
",Name of the Instructor,Lecture,Tutorial,Lab,No of students,Pre-requisite,Branch,Year,tags
Odd,FP 100,Foundation Programme,-,-,-,4,,,,,204,,,1,no tags
Odd,MA 101,Mathematics I,4,2,0,4,"Bipul Saurabh (I+T),    Arnab Saha (T), Mohan Joshi (T), Akilandeeswari (T), Pramod Eyyuni (T)","A, B2 (1/003)","Batch 1 - B3+C2 (7/102)
Batch 2 - B3+C2 (7/103)
Batch 3 - B3+C2 (7/110)
Batch 4 - B3+C2 (1/102)
Batch 5 - B3+C2 (7/204)",,214,,,1,"Bipul Saurabh,MA"
Odd,ES 101,Engineering Graphics,2,0,3,3,"Kaustubh Rane (I + L), Gaurav Srivastava (L), Jayaprakash KR (L), Pradipta Ghosh (L)","C1, C3 (1/003)",,"L1+J1 (7/108, 7/109, 1/101, 1/102)
L2+J2 (7/108, 7/109, 1/101,1/102)
",206,,,1,"Kaustubh Rane,ES"
Odd,ES 102,Introduction to Computing,2,0,2,3,Krishna Prasad (I + L),"G1, G2 (1/101)",,"G3+I3 (7/108, 7/109)
K2+M2 (7/109)",165,,,1,"Krishna Prasad,ES"
Odd,ES 112,Computing,2,0,2,3,Manoj Gupta (I + L),"G1, G2 (1/102)",,"K3+M3 (7/108, 7/109)",110,,,1,"Manoj Gupta,ES"
Odd,ES 103,Introduction to Electrical Systems,3,1,0,4,"Naran Pindoriya (I+T),Ragavan K (T)S Rajendran (T)Nitin Khanna (T)Shivashankar Sukumar (T) ","F1,F2,F3 (1/003)","Batch 1 - B1 (7/201)
Batch 2 - B1 (7/203)
Batch 3 - B1 (7/204)
Batch 4 - B1 (1/003)
Batch 5 - B1 (7/202)",,208,,,1,"Naran Pindoriya,ES"
Odd,BE 101,Introduction to Life Sciences: Fundamentals of Life,3,1,0,4,"Umashankar Singh (I+T),Sharmistha Majumdar (I+T), Karla PMS (T), Dhiraj Bhatia (T), Virupakshi Soppina (T), Sudipta Basu (T)","Section 1 - D (1/102)
Section 2 - H (1/102)",Batch 1 - N1 (7/107)             Batch 2 - N1 (7/207)        Batch 3 - N1 (7/208)        Batch 4 - N1 (7/209)        Batch 5 - N1(1/101),,210,,,1,"Umashankar Singh,Sharmistha Majumdar,BE"
Odd,HS 101,English Studies,3,1,0,4,Arnapurna Rath (I + T),E (1/101),M1 (1/101),,54,,,1,"Arnapurna Rath,HS"
Odd,HS 102,Pleasures of English Studies,3,1,0,4,Sharmita Lahiri (I + T),E (7/209),M1 (7/209),,50,,,1,"Sharmita Lahiri,HS"
Odd,HS 104,Foundational Sanskrit,3,1,0,4,Mana Shah (I + T),E (7/107),M1 (7/202),,50,,,1,"Mana Shah,HS"
Odd,HS 103,French studies,3,1,0,4,Ms. Tina Chaudouet (I + T),E (1/102),M1 (1/102),,51,,,1,"Ms. Tina Chaudouet,HS"
Odd,PE 101,Physical Education,0,0,0,0,,,,,208,,,1,no tags
Odd,PH 102,B.Tech Physics Laboratory,0,0,4,2,"Krishna Kanti Dey (T), Course Associates: Gopinadhan Kalon, Prasanna B, Vinod Chandra,Barath Coleppa",,,"Batch 1 - K1+M1+N1+P1
Batch 2 - J1+L1+R1
Batch 3 - K2+M2+N2+P2
Batch 4 - K3+M3+N3+R2
Batch 5 - J2+L2+R3",187,,,2,"Gopinadhan Kalon,Prasanna B,Vinod Chandra,Barath Coleppa,PH"
Odd,HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly,E (1/003),,,198,,,2,"Jaison Manjaly,HS"
Odd,MA 201,Mathematics III,3,2,0,4,"N. Ladhawala (I),Chelva Kumar (I), Akshaa Vatwani (T-first half)/Chelva Kumar (T-second half), Sudipta Sarkar (T), Uddipta Ghosh (T), Rajat Gupta-GTF (T), Shivam Dhama-GTF (T)",H (1/003),Batch 1 - G3+I3 (7/106) Batch 2 - G3+I3 (7/110) Batch 3 - G3+I3 7(/203) Batch 4 - G3+I3 (7/204)  Batch 5 - G3+I3 (7/207),,192,,,2,"N. Ladhawala,Chelva Kumar,MA"
Odd,CH 201,General Chemistry,3,0,0,4,"Sudhanshu Sharma,Chandrakumar Appayee","Section 1 - F (1/101)
Section 2 - F (1/102)",,,183,,,2,"Sudhanshu Sharma,Chandrakumar Appayee,CH"
Odd,ES 201,Introduction to Design and Innovation,2,0,4,4,Manasi Kanetkar,"G1, G2 (1/003)",,"Section 1 [CE, CL,and CSE] - J1+L1+R1
Section 2 [EE, ME,and MSE] - J2+L2+R3",186,,,2,"Manasi Kanetkar,ES"
Odd,ES 211,Thermodynamics,3,2,0,4,"Atul Bhargav (I), Uddipta Ghosh (T)Chinmay Ghoroi (T), Raghavan Ranganathan (T)",C (7/208),Batch 1: M2+N2 (7/206) Batch 2: M2+N2 (7/208) Batch 3: M2+N2 (7/210),,90,,"CL,ME,MSE",2,"Atul Bhargav,ES"
Odd,ES 203,Digital Systems,2,1,3,4,Joycee Mekie,"D1, D3 (7/208)","Batch A - D2 (7/208)
Batch B - K3 (7/209)","K1+M1+N1 (7/108, 7/109)
 ",78,,"EE, CS",2,"Joycee Mekie,ES"
Odd,EE 221,Electronic Devices,2,1,0,3,Arup Lal Chakraborty,"C1, C2 (7/205)",C3 (7/205),,41,,EE,2,"Arup Lal Chakraborty,EE"
Odd,CE 201,Earth Materials and Processes,2,0,3,4,Saptarshi Dey,"D1, D3 (7/204)",,K1+M1+N1 (7/105),27,,CE,2,"Saptarshi Dey,CE"
Odd,CL 201,Chemical Process Calculations,1,2,0,2,Kaustubh Rane (I+T),B1 (7/110),K1+M1 (7/110),,33,,CL,2,"Kaustubh Rane,CL"
Odd,ES 242,Data Structures and Algorithms - I,2,0,2,3,Neeldhara Misra,"P1, M3 (7/209)",,N3+R2 (7/108 Computer Lab),77,ES102 or ES 112,CS,2,"Neeldhara Misra,ES"
Odd,ES 202,Introduction to Materials,3,1,0,4,Abhijit Mishra,D (7/203),K2 (7/110),,20,,MSE,2,"Abhijit Mishra,ES"
Odd,ES 321,"Dynamics and Vibrations 

",3,1,0,4,"Jayaprakash KR (I+T), Vineet (I+T)",D (7/110),P2( 7/110),,41,,ME,2,"Jayaprakash KR,Vineet,ES"
Odd,CL 221,Chemical Engineering Thermodynamics,3,1,0,4,Kabeer Jasuja (I+T),D (7/210),G2 (7/210),,29,,CL,3,"Kabeer Jasuja,CL"
Odd,CL 322,Chemical Reaction Engineering,3,1,0,4,Mithun Radhakrishna (I+T),F (7/210),G3 (7/210),,31,,CL,3,"Mithun Radhakrishna,CL"
Odd,CL 351,Heat Transfer and Thermodynamics Lab,0,0,4,2,Prachi Thareja (I+T),,K2+M2+N2+P2,,29,,CL,3,"Prachi Thareja,CL"
Odd,CL 425,Process Synthesis and Design,3,1,0,4,Babji Srinivasan (I+T),D (7/201),K2 (7/210),,22,,CL,4,"Babji Srinivasan,CL"
Odd,CL 451,Process Dynamics and Control Lab,0,0,4,2,Nitin Padhiyar (I+T),,,K1+M1+N1+P1,22,,CL,4,"Nitin Padhiyar,CL"
Odd,CE 302,Structural Analysis,3,1,0,4,Gaurav Srivastava,C (7/101),B1 (7/101),,24,,CE,3,"Gaurav Srivastava,CE"
Odd,CE 301,Soil Mechanics,3,1,2,5,Sarvesh Chandra(I),Ajanta Sachan (Lab),E (7/101),G3 (7/101),24,,CE,3,"Sarvesh Chandra,CE"
Odd,CE 308,Water Resource Engineering,2,0,3,4,Udit Bhatia and Pranab Mohapatra,"D2, D3 (7/101)",,K1+M1+N1,24,,CE,3,"Udit Bhatia,Pranab Mohapatra,CE"
Odd,CE 303,Geospatial Engineering,1,0,3,3,Vikrant Jain/Vimal Mishra,H2 (7/101),,D1+G1+H1 (7/101),23,,CE,3,"Vikrant Jain,Vimal Mishra,CE"
